"TABLE A.6 Segment Potential, Kinetic, and Total Energiesâ€”Foot, Leg, Thigh, and 1/2 HAT",,,,,,,,,,,,,,,,,
FRAME,TIME,FOOT SEGMENT,,,,LEG SEGMENT,,,,THIGH SEGMENT,,,,H.A.T. SEGMENT,,,
,,PE,TKE,RKE,TOTAL,PE,TKE,RKE,TOTAL,PE,TKE,RKE,TOTAL,PE,TKE,RKE,TOTAL
,S,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J
1,0,1.2,1.8,0,3,9.5,8.3,0.1,17.9,36.3,12.3,0.3,48.8,203.6,18.2,0.4,222.3
2,0.014,1.3,2.3,0,3.6,9.6,9.2,0.1,18.9,36.2,12.2,0.3,48.8,203.8,18.3,0.3,222.4
3,0.029,1.4,2.9,0,4.3,9.7,9.9,0,19.6,36.3,11.7,0.4,48.4,204.1,17.9,0.1,222.1
4,0.043,1.4,3.5,0,4.9,9.8,10.2,0,20,36.4,11.1,0.4,47.9,204.6,17.2,0.1,221.8
5,0.057,1.4,4,0,5.5,9.9,10.4,0,20.3,36.7,10.5,0.4,47.6,205.2,16.3,0,221.6
6,0.072,1.4,4.6,0,6,10,10.4,0.1,20.5,36.9,10,0.4,47.4,206,15.6,0,221.7
7,0.086,1.4,5.1,0,6.5,10,10.3,0.2,20.5,37.3,9.6,0.4,47.3,207,15.1,0.1,222.1
8,0.1,1.3,5.5,0.1,6.9,10.1,10.2,0.3,20.5,37.6,9.3,0.3,47.2,207.9,14.8,0.1,222.8
9,0.114,1.3,6,0.1,7.3,10.1,10.1,0.3,20.5,38,9,0.2,47.2,208.9,14.6,0.1,223.6
10,0.129,1.2,6.3,0.1,7.6,10.1,9.9,0.4,20.4,38.3,8.6,0.2,47.1,209.8,14.4,0.2,224.3
11,0.143,1.1,6.6,0.1,7.8,10.1,9.8,0.5,20.3,38.7,8.2,0.1,47,210.6,14.1,0.2,224.9
12,0.157,1,6.9,0.1,8,10,9.6,0.5,20.2,38.9,7.7,0.1,46.7,211.2,13.9,0.3,225.4
13,0.172,0.9,7,0.1,8,9.9,9.4,0.6,20,39.1,7.3,0,46.5,211.6,13.7,0.4,225.7
14,0.186,0.8,7.1,0.1,8,9.9,9.2,0.6,19.7,39.3,6.8,0,46.1,211.9,13.7,0.4,225.9
15,0.2,0.8,7,0.1,7.9,9.8,9,0.6,19.4,39.4,6.4,0,45.8,212,13.9,0.4,226.2
16,0.215,0.7,6.9,0.1,7.7,9.7,8.6,0.6,18.9,39.4,6.1,0,45.5,211.9,14.4,0.3,226.6
17,0.229,0.7,6.6,0.1,7.4,9.6,8.2,0.6,18.3,39.3,5.9,0,45.2,211.6,15.4,0.2,227.2
18,0.243,0.7,6.2,0.1,7,9.5,7.6,0.6,17.7,39.2,5.7,0,44.9,211.1,16.7,0.2,227.9
19,0.257,0.7,5.7,0.1,6.5,9.4,7,0.5,16.9,39,5.7,0,44.7,210.5,18.1,0.1,228.7
20,0.272,0.8,5,0.1,5.8,9.3,6.4,0.5,16.1,38.7,5.8,0,44.6,209.7,19.6,0.1,229.4
21,0.286,0.8,4.2,0,5,9.2,5.7,0.4,15.3,38.5,5.9,0,44.4,208.9,20.8,0.1,229.7
22,0.3,0.8,3.3,0,4.2,9.1,5.1,0.3,14.4,38.2,6.1,0,44.3,208.1,21.5,0,229.7
23,0.315,0.9,2.5,0,3.4,9,4.4,0.1,13.6,37.9,6.4,0,44.3,207.4,21.9,0.1,229.3
24,0.329,0.9,1.7,0,2.6,9,3.8,0.1,12.8,37.7,6.7,0,44.4,206.7,22,0.1,228.8
25,0.343,0.9,1.1,0,2,8.9,3.3,0,12.2,37.5,7.1,0,44.6,206.1,22.1,0.1,228.4
26,0.357,0.9,0.7,0,1.5,8.8,2.8,0,11.6,37.4,7.4,0,44.8,205.7,22.5,0.1,228.3
27,0.372,0.8,0.4,0,1.3,8.8,2.4,0,11.2,37.3,7.6,0,44.9,205.3,23.1,0.1,228.6
28,0.386,0.8,0.3,0,1.1,8.7,2.1,0.1,10.8,37.2,7.7,0,44.9,205.1,23.9,0.1,229.2
29,0.4,0.7,0.2,0,1,8.6,1.8,0.1,10.5,37.2,7.5,0,44.8,205.1,24.7,0,229.8
30,0.415,0.7,0.2,0,0.9,8.6,1.6,0.1,10.3,37.3,7.3,0,44.5,205.3,25.2,0,230.5
31,0.429,0.6,0.1,0,0.7,8.6,1.4,0.1,10.2,37.4,6.9,0,44.3,205.7,25.5,0,231.1
32,0.443,0.6,0.1,0,0.7,8.6,1.3,0.1,10,37.5,6.5,0,44.1,206.3,25.4,0,231.7
33,0.458,0.5,0,0,0.6,8.6,1.2,0.1,9.9,37.7,6,0,43.8,207,25,0.1,232.1
34,0.472,0.5,0,0,0.5,8.7,1,0.1,9.8,37.9,5.4,0,43.3,207.8,24.2,0.2,232.2
35,0.486,0.5,0,0,0.5,8.7,0.8,0.1,9.6,38.1,4.8,0,42.9,208.6,23.2,0.2,232
36,0.5,0.5,0,0,0.5,8.7,0.6,0.1,9.4,38.2,4.2,0,42.5,209.3,22.2,0.2,231.7
37,0.515,0.5,0,0,0.5,8.7,0.4,0.1,9.2,38.4,3.8,0.1,42.2,209.9,21.3,0.1,231.3
38,0.529,0.5,0,0,0.5,8.7,0.3,0,9.1,38.4,3.3,0.1,41.9,210.5,20.3,0.1,230.9
39,0.543,0.5,0,0,0.5,8.7,0.2,0,9,38.5,3,0.1,41.6,211,19.4,0.1,230.5
40,0.558,0.5,0,0,0.5,8.7,0.1,0,8.9,38.6,2.6,0.1,41.3,211.5,18.6,0.1,230.2
41,0.572,0.5,0,0,0.5,8.7,0.1,0,8.9,38.6,2.3,0.1,41.1,211.8,18.1,0.2,230.1
42,0.586,0.5,0,0,0.5,8.7,0.1,0,8.8,38.7,2.1,0.1,40.9,212.1,17.8,0.3,230.2
43,0.601,0.5,0,0,0.5,8.7,0.1,0,8.9,38.7,1.9,0.1,40.8,212.4,17.7,0.4,230.4
44,0.615,0.5,0,0,0.5,8.8,0.1,0,8.9,38.7,1.9,0.1,40.7,212.6,17.7,0.5,230.8
45,0.629,0.5,0,0,0.5,8.8,0.1,0,8.9,38.7,1.9,0.1,40.7,212.6,17.9,0.6,231.1
46,0.643,0.5,0,0,0.5,8.8,0.1,0,8.9,38.7,1.9,0.1,40.7,212.5,18.3,0.7,231.5
47,0.658,0.5,0,0,0.5,8.8,0.1,0,8.9,38.6,1.9,0.1,40.6,212.3,18.7,0.7,231.7
48,0.672,0.5,0,0,0.5,8.8,0.2,0,8.9,38.6,2,0.1,40.6,211.9,19.2,0.8,231.9
49,0.686,0.5,0,0,0.5,8.7,0.2,0,8.9,38.4,2.1,0.1,40.6,211.5,19.7,0.7,231.9
50,0.701,0.5,0,0,0.5,8.7,0.2,0,8.9,38.3,2.2,0.1,40.6,211,20.2,0.6,231.8
51,0.715,0.5,0,0,0.5,8.7,0.2,0,8.9,38.2,2.4,0.1,40.7,210.4,20.5,0.6,231.5
52,0.729,0.5,0,0,0.5,8.7,0.2,0,8.9,38.1,2.5,0.1,40.6,209.9,20.7,0.5,231.1
53,0.744,0.5,0,0,0.5,8.7,0.2,0,8.9,38,2.5,0.1,40.6,209.3,20.9,0.5,230.7
54,0.758,0.5,0,0,0.5,8.7,0.2,0,8.9,37.9,2.6,0.1,40.6,208.7,21.3,0.5,230.5
55,0.772,0.5,0,0,0.6,8.7,0.3,0,9,37.8,2.9,0.1,40.7,208.1,21.7,0.5,230.2
56,0.786,0.6,0,0,0.6,8.7,0.3,0.1,9.1,37.7,3.1,0.1,40.9,207.6,21.9,0.4,229.9
57,0.801,0.6,0,0,0.6,8.8,0.4,0.1,9.2,37.7,3.5,0,41.2,207.1,22,0.3,229.3
58,0.815,0.6,0,0,0.6,8.8,0.5,0.1,9.4,37.6,3.9,0,41.5,206.5,21.9,0.2,228.6
59,0.829,0.6,0,0,0.6,8.8,0.7,0.1,9.6,37.5,4.4,0,41.9,206.1,21.9,0.1,228.1
60,0.844,0.6,0,0,0.7,8.9,0.9,0.1,9.9,37.4,5.2,0,42.6,205.6,22.3,0,227.9
61,0.858,0.7,0,0,0.7,8.9,1.3,0.1,10.3,37.3,6.2,0,43.5,205.2,23.1,0,228.3
62,0.872,0.7,0.1,0,0.8,9,1.7,0.2,10.9,37.2,7.5,0,44.7,204.8,24.4,0,229.3
63,0.887,0.7,0.1,0.1,0.9,9,2.4,0.2,11.6,37.1,9,0,46,204.5,25.8,0.1,230.4
64,0.901,0.8,0.2,0.1,1.1,9.1,3.2,0.2,12.5,36.9,10.5,0,47.4,204.1,26.7,0.2,231.1
65,0.915,0.8,0.3,0.1,1.2,9.1,4.1,0.2,13.4,36.7,11.8,0,48.5,203.8,26.5,0.4,230.7
66,0.929,0.9,0.5,0.1,1.5,9.2,5,0.2,14.3,36.6,12.6,0.1,49.2,203.6,24.9,0.6,229.1
67,0.944,1,0.7,0.1,1.8,9.2,5.8,0.2,15.2,36.4,12.9,0.1,49.4,203.4,22.3,0.8,226.5
68,0.958,1.1,1,0.1,2.1,9.3,6.6,0.1,16,36.3,12.6,0.1,49.1,203.2,19.6,0.8,223.7
69,0.972,1.1,1.3,0,2.5,9.4,7.3,0.1,16.7,36.2,12.1,0.2,48.5,203.2,17.4,0.7,221.3
70,0.987,1.2,1.7,0,3,9.5,7.9,0.1,17.4,36.1,11.4,0.3,47.8,203.3,15.8,0.5,219.7
71,1.001,1.3,2.2,0,3.5,9.6,8.4,0,18,36.2,10.7,0.3,47.2,203.5,14.9,0.3,218.7
72,1.015,1.4,2.7,0,4.1,9.7,8.8,0,18.5,36.3,10.2,0.4,46.8,203.9,14.4,0.2,218.5
73,1.03,1.4,3.3,0,4.7,9.8,9.3,0,19.1,36.4,9.9,0.4,46.8,204.5,14.3,0.1,218.9
74,1.044,1.4,3.8,0,5.2,9.9,9.6,0,19.5,36.7,9.8,0.4,46.9,205.2,14.3,0.1,219.6
75,1.058,1.4,4.4,0,5.8,10,9.9,0.1,20,37,9.8,0.4,47.1,206.1,14.5,0.1,220.7
76,1.072,1.4,4.9,0,6.3,10,10.1,0.2,20.3,37.3,9.8,0.3,47.4,207,14.7,0.1,221.8
77,1.087,1.3,5.5,0,6.8,10.1,10.2,0.2,20.5,37.6,9.7,0.3,47.6,208.1,14.7,0.2,223
78,1.101,1.2,5.9,0.1,7.2,10.1,10.2,0.3,20.6,38,9.5,0.2,47.7,209.1,14.6,0.3,224
79,1.115,1.1,6.4,0.1,7.6,10,10.2,0.4,20.6,38.3,9.1,0.2,47.6,210,14.4,0.3,224.8
80,1.13,1.1,6.7,0.1,7.8,10,10.1,0.5,20.5,38.6,8.7,0.1,47.4,210.8,14.3,0.4,225.5
81,1.144,1,7,0.1,8,9.9,9.9,0.5,20.4,38.9,8.1,0.1,47.1,211.3,14.4,0.4,226.1
82,1.158,0.9,7.2,0.1,8.1,9.9,9.8,0.6,20.2,39.1,7.6,0.1,46.7,211.7,14.7,0.3,226.6
83,1.173,0.8,7.3,0.1,8.2,9.8,9.6,0.6,19.9,39.2,7,0,46.2,211.9,14.9,0.2,227
84,1.187,0.7,7.4,0.1,8.2,9.7,9.3,0.6,19.6,39.3,6.5,0,45.8,211.8,15.2,0.1,227.2
85,1.201,0.7,7.3,0.1,8.1,9.5,9.1,0.6,19.2,39.3,6,0,45.3,211.6,15.6,0.1,227.4
86,1.215,0.6,7.2,0.1,7.9,9.4,8.7,0.6,18.8,39.2,5.7,0,44.9,211.3,16.1,0.1,227.4
87,1.23,0.6,6.8,0.1,7.5,9.3,8.2,0.6,18.2,39,5.5,0,44.6,210.8,16.7,0.1,227.5
88,1.244,0.6,6.4,0.1,7.1,9.2,7.6,0.6,17.5,38.8,5.5,0,44.4,210.1,17.4,0.1,227.6
89,1.258,0.7,5.7,0.1,6.4,9.1,6.9,0.6,16.6,38.6,5.6,0,44.2,209.3,18.2,0.1,227.6
90,1.273,0.7,4.8,0.1,5.5,9,6.2,0.5,15.6,38.3,5.8,0,44.1,208.5,18.9,0.1,227.5
91,1.287,0.8,3.8,0,4.6,8.9,5.4,0.3,14.6,38,6,0,44,207.6,19.4,0.1,227.2
92,1.301,0.8,2.8,0,3.6,8.8,4.6,0.2,13.6,37.7,6.4,0,44,206.7,20,0.2,226.8
93,1.316,0.8,1.9,0,2.7,8.8,4,0.1,12.8,37.4,6.8,0,44.2,205.9,20.5,0.2,226.5
94,1.33,0.8,1.2,0,2,8.7,3.5,0,12.2,37.2,7.4,0,44.6,205.1,21,0.3,226.4
95,1.344,0.8,0.7,0,1.5,8.6,3,0,11.7,37.1,7.9,0,45,204.6,21.5,0.3,226.4
96,1.358,0.8,0.5,0,1.3,8.6,2.7,0,11.3,37,8.4,0,45.4,204.2,22.3,0.3,226.8
97,1.373,0.7,0.3,0,1.1,8.6,2.4,0.1,11,37,8.6,0,45.6,204,23.1,0.3,227.4
98,1.387,0.7,0.2,0,1,8.5,2.2,0.1,10.8,37,8.6,0,45.6,204,24,0.2,228.2
99,1.401,0.6,0.2,0,0.8,8.5,2,0.1,10.6,37.1,8.3,0,45.4,204.2,24.6,0.1,228.9
100,1.416,0.6,0.1,0,0.7,8.5,1.7,0.1,10.4,37.2,7.8,0,45.1,204.7,24.8,0,229.5
101,1.43,0.5,0.1,0,0.6,8.6,1.5,0.1,10.2,37.4,7.2,0,44.6,205.3,24.7,0,230
102,1.444,0.5,0,0,0.6,8.6,1.2,0.1,9.9,37.6,6.4,0,44,206.1,24.2,0,230.3
103,1.459,0.5,0,0,0.5,8.6,0.9,0.1,9.6,37.8,5.5,0,43.3,206.9,23.3,0.1,230.2
104,1.473,0.5,0,0,0.5,8.6,0.6,0.1,9.3,37.9,4.6,0,42.5,207.6,21.8,0.1,229.5
105,1.487,0.5,0,0,0.5,8.6,0.4,0.1,9.1,38.1,3.7,0,41.8,208.3,19.7,0.1,228.1
106,1.501,0.5,0,0,0.5,8.6,0.2,0.1,8.9,38.2,2.9,0.1,41.1,208.9,16.9,0.1,225.9